Date,Abap,Ada,Cpp,Csharp,Cobol,Dart,Delphi,Go,Groovy,Haskell,Java,JavaScript,Julia,Kotlin,Lua,Matlab,ObjectiveC,Perl,PHP,Python,R,Ruby,Rust,Scala,Swift,TypeScript,VBA,VisualBasic
Jan-15,0.59,0.33,8.08,9.22,0.33,0.13,0.61,0.2,0.45,0.33,25.75,7.36,0.19,0,0.54,3.05,6.25,1.37,12,10.71,2.59,2.56,0.19,0.73,2.42,0.1,1.51,2.42
Feb-15,0.58,0.36,8.03,9.32,0.33,0.13,0.6,0.21,0.45,0.34,25.5,7.39,0.18,0,0.55,3.09,6.23,1.33,11.83,10.84,2.69,2.53,0.2,0.71,2.51,0.11,1.48,2.47
Mar-15,0.56,0.36,7.96,9.31,0.33,0.13,0.57,0.22,0.46,0.36,25.52,7.32,0.18,0,0.52,3.2,6.15,1.27,11.79,11.1,2.7,2.52,0.19,0.72,2.6,0.11,1.46,2.39
Apr-15,0.6,0.38,7.84,9.18,0.35,0.14,0.58,0.24,0.48,0.38,25.32,7.37,0.2,0,0.54,3.23,5.99,1.32,11.74,11.12,2.79,2.57,0.2,0.74,2.66,0.14,1.51,2.39
May-15,0.61,0.39,7.66,9.3,0.35,0.12,0.57,0.24,0.51,0.39,25.3,7.45,0.19,0,0.54,3.22,5.8,1.36,11.82,11.13,2.8,2.61,0.21,0.77,2.65,0.15,1.51,2.36
Jun-15,0.58,0.35,7.66,9.46,0.32,0.12,0.54,0.23,0.5,0.38,25.34,7.5,0.18,0,0.51,3.21,5.74,1.31,11.83,11.2,2.85,2.62,0.21,0.77,2.66,0.17,1.53,2.24
Jul-15,0.54,0.35,7.62,9.52,0.3,0.12,0.52,0.23,0.48,0.36,25.43,7.47,0.16,0,0.5,3.1,5.7,1.29,11.84,11.34,2.87,2.61,0.21,0.81,2.72,0.18,1.54,2.18
Aug-15,0.58,0.34,7.64,9.41,0.31,0.12,0.51,0.24,0.48,0.37,25.33,7.54,0.16,0,0.49,3,5.68,1.34,11.83,11.35,2.9,2.66,0.2,0.85,2.77,0.2,1.6,2.13
Sep-15,0.6,0.34,7.71,9.35,0.33,0.12,0.51,0.25,0.46,0.35,25.46,7.5,0.16,0,0.49,2.9,5.65,1.33,11.71,11.46,2.88,2.65,0.21,0.88,2.81,0.22,1.61,2.06
Oct-15,0.59,0.32,7.73,9.29,0.32,0.11,0.47,0.24,0.45,0.33,25.55,7.54,0.15,0,0.5,2.8,5.67,1.27,11.61,11.58,2.91,2.66,0.21,0.9,2.93,0.23,1.6,2.01
Nov-15,0.58,0.32,7.78,9.2,0.33,0.12,0.47,0.26,0.45,0.31,25.48,7.44,0.16,0,0.52,2.8,5.63,1.28,11.37,11.73,3.01,2.64,0.22,0.93,3.08,0.24,1.63,2.03
Dec-15,0.57,0.32,7.78,9.13,0.33,0.12,0.45,0.27,0.45,0.32,25.37,7.5,0.17,0,0.52,2.83,5.56,1.28,11.33,11.94,3.02,2.58,0.21,0.96,3.13,0.25,1.61,1.99
Jan-16,0.58,0.32,7.88,8.99,0.34,0.13,0.46,0.3,0.44,0.34,25.24,7.65,0.19,0,0.53,2.89,5.58,1.28,11.15,11.98,3.06,2.52,0.22,0.97,3.12,0.3,1.6,1.94
Feb-16,0.53,0.33,7.83,9.02,0.32,0.13,0.46,0.31,0.43,0.33,24.97,7.63,0.19,0.01,0.53,2.95,5.58,1.21,11.06,12.3,3.08,2.47,0.24,1.04,3.25,0.34,1.55,1.9
Mar-16,0.47,0.31,7.7,9.04,0.27,0.12,0.44,0.3,0.41,0.33,24.71,7.76,0.19,0.02,0.52,3,5.56,1.15,11.1,12.62,3.17,2.44,0.24,1.04,3.3,0.36,1.53,1.91
Apr-16,0.45,0.32,7.58,9.01,0.27,0.12,0.43,0.31,0.4,0.33,24.51,7.74,0.2,0.03,0.53,3.08,5.53,1.15,11.1,12.8,3.25,2.39,0.25,1.05,3.34,0.42,1.52,1.88
May-16,0.42,0.31,7.56,9.08,0.25,0.11,0.39,0.31,0.38,0.32,24.45,7.75,0.19,0.04,0.5,3.06,5.5,1.07,11.18,12.94,3.29,2.39,0.24,1.04,3.45,0.48,1.48,1.8
Jun-16,0.43,0.34,7.48,9.1,0.26,0.11,0.41,0.34,0.37,0.3,24.23,7.8,0.2,0.05,0.53,2.96,5.55,1,11.13,13.32,3.34,2.33,0.26,1.03,3.45,0.55,1.43,1.73
Jul-16,0.45,0.35,7.41,9.17,0.26,0.1,0.39,0.35,0.38,0.31,23.96,7.76,0.17,0.07,0.51,2.92,5.45,0.95,11.02,13.68,3.45,2.35,0.27,1.03,3.53,0.58,1.43,1.71
Aug-16,0.46,0.36,7.37,9.21,0.28,0.1,0.39,0.38,0.39,0.3,24.01,7.72,0.19,0.08,0.51,2.84,5.38,0.92,10.9,13.87,3.48,2.35,0.27,0.99,3.51,0.62,1.43,1.68
Sep-16,0.46,0.42,7.38,9.19,0.3,0.11,0.39,0.41,0.4,0.3,23.92,7.73,0.19,0.09,0.53,2.76,5.34,0.9,10.79,14.04,3.46,2.32,0.28,0.97,3.58,0.66,1.43,1.63
Oct-16,0.46,0.44,7.41,9.14,0.29,0.11,0.39,0.41,0.39,0.3,23.77,7.75,0.2,0.1,0.51,2.72,5.34,0.87,10.58,14.31,3.51,2.32,0.29,1.01,3.57,0.74,1.45,1.63
Nov-16,0.48,0.47,7.53,8.89,0.31,0.12,0.42,0.44,0.42,0.31,23.38,7.93,0.2,0.11,0.54,2.71,5.31,0.85,10.37,14.7,3.53,2.25,0.32,1.07,3.45,0.81,1.46,1.61
Dec-16,0.48,0.47,7.67,8.73,0.31,0.13,0.38,0.46,0.42,0.32,23.29,8,0.2,0.12,0.51,2.71,5.15,0.85,10.21,14.98,3.55,2.2,0.33,1.09,3.54,0.86,1.44,1.61
Jan-17,0.46,0.49,7.57,8.66,0.29,0.13,0.37,0.47,0.41,0.31,23.08,8.1,0.22,0.12,0.5,2.69,5.18,0.85,10.16,15.31,3.54,2.18,0.33,1.13,3.5,0.92,1.41,1.59
Feb-17,0.46,0.48,7.62,8.52,0.29,0.13,0.38,0.5,0.43,0.32,22.71,8.09,0.22,0.12,0.51,2.79,5.04,0.85,10.05,15.68,3.64,2.15,0.34,1.16,3.53,1,1.42,1.59
Mar-17,0.47,0.43,7.51,8.45,0.29,0.13,0.37,0.51,0.43,0.33,22.52,8.17,0.22,0.12,0.5,2.76,4.86,0.85,9.93,16.17,3.75,2.11,0.35,1.21,3.52,1.07,1.39,1.57
Apr-17,0.47,0.42,7.47,8.47,0.28,0.13,0.37,0.55,0.43,0.33,22.31,8.29,0.21,0.12,0.5,2.7,4.71,0.83,9.91,16.59,3.85,2.05,0.35,1.23,3.47,1.09,1.36,1.52
May-17,0.46,0.43,7.31,8.52,0.3,0.12,0.34,0.58,0.43,0.33,22.19,8.34,0.22,0.12,0.49,2.66,4.58,0.84,9.8,16.85,3.97,2.05,0.34,1.24,3.5,1.14,1.37,1.47
Jun-17,0.46,0.42,7.13,8.5,0.31,0.12,0.33,0.61,0.43,0.33,21.88,8.33,0.21,0.28,0.49,2.61,4.54,0.84,9.57,17.23,4.07,2.11,0.36,1.3,3.47,1.19,1.42,1.46
Jul-17,0.46,0.43,7.07,8.3,0.34,0.13,0.33,0.65,0.45,0.32,21.79,8.35,0.24,0.42,0.51,2.58,4.4,0.84,9.26,17.54,4.16,2.05,0.36,1.34,3.52,1.24,1.47,1.44
Aug-17,0.47,0.44,6.96,8.14,0.35,0.12,0.33,0.66,0.45,0.33,21.93,8.46,0.24,0.52,0.48,2.46,4.31,0.82,9.02,17.88,4.22,2.03,0.38,1.37,3.51,1.28,1.46,1.38
Sep-17,0.49,0.46,6.92,8.06,0.39,0.13,0.34,0.67,0.45,0.33,21.94,8.44,0.25,0.6,0.45,2.39,4.25,0.81,8.82,18.19,4.25,1.99,0.38,1.37,3.47,1.32,1.49,1.34
Oct-17,0.5,0.48,6.78,7.99,0.43,0.13,0.35,0.68,0.48,0.36,21.91,8.35,0.27,0.7,0.44,2.38,4.15,0.81,8.59,18.67,4.16,1.97,0.39,1.35,3.49,1.38,1.51,1.29
Nov-17,0.53,0.45,6.64,7.93,0.41,0.13,0.36,0.69,0.48,0.36,21.95,8.27,0.27,0.85,0.42,2.3,4.12,0.81,8.38,19.18,4.14,1.92,0.42,1.33,3.45,1.39,1.51,1.3
Dec-17,0.54,0.41,6.62,7.81,0.39,0.12,0.35,0.69,0.48,0.35,22.16,8.29,0.26,0.82,0.41,2.28,4.02,0.81,8.36,19.7,4.17,1.82,0.39,1.27,3.32,1.39,1.49,1.27
Jan-18,0.53,0.37,6.56,7.89,0.37,0.11,0.34,0.7,0.49,0.37,22.11,8.24,0.22,0.81,0.4,2.28,3.91,0.79,8.31,20.26,4.22,1.8,0.38,1.23,3.19,1.42,1.44,1.25
Feb-18,0.52,0.36,6.46,7.89,0.36,0.11,0.33,0.73,0.5,0.35,21.96,8.26,0.21,0.83,0.41,2.32,3.82,0.82,8.29,20.75,4.18,1.75,0.37,1.2,3.07,1.43,1.43,1.27
Mar-18,0.52,0.34,6.35,7.89,0.33,0.11,0.3,0.75,0.5,0.34,21.98,8.25,0.19,0.89,0.4,2.35,3.75,0.8,8.14,21.21,4.19,1.75,0.36,1.18,2.99,1.47,1.4,1.27
Apr-18,0.52,0.31,6.27,7.86,0.31,0.13,0.27,0.79,0.49,0.31,22.03,8.32,0.18,0.93,0.4,2.29,3.63,0.78,8.1,21.68,4.21,1.7,0.36,1.16,2.88,1.46,1.37,1.25
May-18,0.52,0.32,6.24,7.77,0.31,0.14,0.25,0.81,0.48,0.3,21.94,8.34,0.17,0.9,0.4,2.27,3.5,0.78,8.08,22.3,4.18,1.66,0.34,1.17,2.8,1.46,1.37,1.23
Jun-18,0.51,0.36,6.05,7.78,0.34,0.17,0.27,0.85,0.48,0.32,21.87,8.41,0.18,0.92,0.42,2.25,3.4,0.76,7.93,22.62,4.1,1.66,0.36,1.18,2.75,1.47,1.38,1.22
Jul-18,0.53,0.35,5.99,7.74,0.33,0.18,0.24,0.86,0.48,0.3,21.82,8.45,0.18,0.93,0.38,2.18,3.33,0.75,7.84,23.06,4.06,1.62,0.35,1.2,2.76,1.48,1.4,1.2
Aug-18,0.54,0.33,6.02,7.71,0.31,0.19,0.23,0.87,0.49,0.29,21.87,8.43,0.17,0.98,0.36,2.11,3.27,0.74,7.66,23.48,4.03,1.58,0.35,1.2,2.7,1.49,1.42,1.17
Sep-18,0.55,0.33,6.11,7.66,0.34,0.21,0.23,0.92,0.49,0.28,21.66,8.37,0.22,0.99,0.37,2.05,3.26,0.72,7.57,23.71,4.03,1.6,0.36,1.22,2.69,1.51,1.44,1.14
Oct-18,0.54,0.33,6.12,7.61,0.32,0.2,0.25,0.95,0.49,0.29,21.57,8.34,0.23,1.01,0.37,2.01,3.22,0.71,7.42,24.17,3.97,1.59,0.35,1.22,2.62,1.49,1.46,1.14
Nov-18,0.53,0.34,6.14,7.58,0.32,0.2,0.24,0.95,0.5,0.28,21.41,8.29,0.24,1.07,0.38,1.99,3.16,0.67,7.25,24.6,3.95,1.57,0.36,1.22,2.6,1.54,1.46,1.15
Dec-18,0.55,0.33,6.25,7.51,0.3,0.2,0.25,0.98,0.52,0.28,21.2,8.17,0.25,1.1,0.39,1.99,3.17,0.68,7.24,24.75,3.99,1.54,0.38,1.2,2.62,1.57,1.43,1.14
Jan-19,0.56,0.34,6.18,7.48,0.31,0.24,0.26,1.02,0.51,0.3,21.12,8.19,0.27,1.12,0.4,1.99,3.08,0.66,7.21,25.16,3.96,1.5,0.43,1.16,2.51,1.54,1.39,1.11
Feb-19,0.56,0.34,6.12,7.47,0.31,0.25,0.26,1.07,0.5,0.29,20.87,8.13,0.27,1.13,0.4,1.98,3.02,0.63,7.2,25.62,3.96,1.48,0.44,1.16,2.47,1.57,1.38,1.13
Mar-19,0.56,0.35,6.02,7.4,0.3,0.25,0.27,1.07,0.49,0.29,20.67,8.16,0.25,1.15,0.41,2.02,2.89,0.64,7.15,26.2,3.94,1.41,0.47,1.13,2.41,1.59,1.34,1.15
Apr-19,0.55,0.35,5.96,7.4,0.3,0.26,0.25,1.06,0.48,0.27,20.55,8.22,0.24,1.17,0.4,1.98,2.81,0.63,7.11,26.65,3.93,1.36,0.5,1.11,2.39,1.61,1.31,1.12
May-19,0.55,0.34,5.9,7.29,0.31,0.28,0.27,1.11,0.49,0.31,20.32,8.26,0.25,1.2,0.38,1.99,2.79,0.62,7.03,26.91,3.99,1.36,0.56,1.11,2.36,1.62,1.29,1.09
Jun-19,0.55,0.36,5.8,7.25,0.31,0.33,0.26,1.12,0.48,0.3,20.14,8.27,0.25,1.3,0.36,1.93,2.73,0.6,6.85,27.54,3.94,1.35,0.55,1.11,2.32,1.66,1.29,1.06
Jul-19,0.54,0.36,5.8,7.21,0.31,0.32,0.26,1.14,0.48,0.29,19.9,8.17,0.25,1.38,0.38,1.88,2.72,0.59,6.67,27.99,3.86,1.36,0.55,1.1,2.39,1.74,1.28,1.07
Aug-19,0.52,0.38,5.76,7.13,0.32,0.34,0.26,1.17,0.5,0.29,19.72,8.14,0.26,1.44,0.38,1.84,2.63,0.59,6.49,28.3,3.84,1.4,0.63,1.1,2.41,1.78,1.32,1.05
Sep-19,0.51,0.37,5.79,7.17,0.32,0.36,0.26,1.17,0.51,0.29,19.45,8.07,0.28,1.55,0.37,1.79,2.64,0.55,6.37,28.59,3.8,1.43,0.67,1.1,2.44,1.8,1.33,1.02
Oct-19,0.5,0.37,5.92,7.11,0.32,0.37,0.25,1.22,0.5,0.29,19.17,8.06,0.27,1.61,0.36,1.82,2.66,0.55,6.24,28.8,3.82,1.43,0.65,1.09,2.45,1.83,1.33,0.99
Nov-19,0.51,0.36,5.94,7.28,0.32,0.38,0.24,1.22,0.47,0.28,19.1,8.07,0.28,1.66,0.35,1.78,2.61,0.56,6.14,29.04,3.73,1.41,0.62,1.05,2.45,1.85,1.33,0.97
Dec-19,0.5,0.34,6.02,7.29,0.32,0.38,0.23,1.26,0.45,0.29,18.94,8.01,0.27,1.64,0.32,1.81,2.58,0.53,6.17,29.12,3.74,1.39,0.65,1.07,2.46,1.86,1.37,0.97
Jan-20,0.5,0.34,6.04,7.21,0.32,0.42,0.23,1.27,0.44,0.29,18.79,8.12,0.27,1.66,0.31,1.83,2.52,0.54,6.22,29.23,3.8,1.36,0.68,1.04,2.41,1.83,1.38,0.94
Feb-20,0.49,0.31,6.02,7.33,0.31,0.42,0.24,1.25,0.42,0.28,18.59,8.12,0.28,1.7,0.32,1.8,2.54,0.51,6.31,29.46,3.9,1.32,0.66,1.04,2.33,1.84,1.31,0.92
Mar-20,0.49,0.3,5.93,7.27,0.3,0.42,0.24,1.34,0.41,0.28,18.35,8.15,0.27,1.66,0.3,1.82,2.51,0.5,6.31,29.88,3.96,1.28,0.65,1.03,2.26,1.85,1.32,0.9
